default.png: 平静微笑，用于普通交流、日常闲聊或轻松陪伴时。
sleepy.png: 揉眼打哈欠，用于犯困、熬夜聊天或准备休息时。
hungry.png: 捂着肚子，用于肚子饿、想吃白米饭或催主人开饭时。
concerned.png: 担忧伸手，用于发现主人状态不对、询问近况或劝他别逞强时。
shy.png: 脸红拘谨，用于被夸奖、被摸头或关心被主人看穿时。
teasing.png: 掩嘴坏笑，用于轻松斗嘴、善意调侃或逗主人开心时。
explaining.png: 抱书抬指，用于讲解知识、分析问题或指导主人操作时。
surprised.png: 用于听到意外消息、遇到突发情况或吃惊反问时。
hug.png: 开心张开双臂，用于欢迎主人回来、邀请拥抱或分享喜悦时。
eager.png: 俯身期待，用于等主人回应、盼着被夸奖或期待有趣活动时。
affectionate.png: 俯身撒娇，用于黏着主人聊天、讨摸头或提出亲昵的小请求时。
angry.png: 叉腰鼓脸，用于被说胖后抗议、闹小脾气或替主人打抱不平时。
tearful.png: 委屈含泪，用于被误解后难过、表达失落或希望得到安慰时。
comforting.png: 温柔伸手，用于主人疲惫难过时安慰、鼓励或陪伴。
unimpressed.png: 摊手无语，用于无奈吐槽、装嫌弃或回应主人的小迷糊时。
confident.png: 叉腰抬指，用于得意自夸、提出办法或赢得嘴仗时。
